test Loss: 0.7642, test auroc: 0.8279513888888889
test Loss: 0.9065, test auroc: 0.8776041666666666
test Loss: 0.8530, test auroc: 0.8817708333333334
test Loss: 1.2250, test auroc: 0.8619791666666666
test Loss: 1.0344, test auroc: 0.8796875000000001
test Loss: 1.1038, test auroc: 0.8767361111111112
test Loss: 1.1448, test auroc: 0.8899305555555556
test Loss: 1.0291, test auroc: 0.8972222222222223
test Loss: 1.3031, test auroc: 0.8855902777777778
test Loss: 1.6397, test auroc: 0.8704861111111112
