test Loss: 0.7525, test auroc: 0.8727430555555555
test Loss: 0.7066, test auroc: 0.8855902777777778
test Loss: 0.7189, test auroc: 0.9201388888888888
test Loss: 0.9114, test auroc: 0.9086805555555555
test Loss: 0.8888, test auroc: 0.9140624999999999
test Loss: 1.0884, test auroc: 0.8935763888888889
test Loss: 1.0316, test auroc: 0.9157986111111112
test Loss: 1.3579, test auroc: 0.8927083333333333
test Loss: 1.3313, test auroc: 0.8980902777777778
test Loss: 1.5649, test auroc: 0.8760416666666667
test Loss: 1.1348, test auroc: 0.9078124999999999
test Loss: 1.1945, test auroc: 0.906423611111111
test Loss: 1.5270, test auroc: 0.890625
test Loss: 1.5451, test auroc: 0.8934027777777778
test Loss: 1.3876, test auroc: 0.9005208333333332
test Loss: 1.3252, test auroc: 0.8947916666666665
test Loss: 1.2173, test auroc: 0.9074652777777777
test Loss: 1.1044, test auroc: 0.9201388888888888
test Loss: 1.3036, test auroc: 0.9036458333333333
test Loss: 1.5354, test auroc: 0.897048611111111
test Loss: 1.4565, test auroc: 0.8972222222222221
test Loss: 1.3299, test auroc: 0.8946180555555556
test Loss: 1.5076, test auroc: 0.8822916666666667
test Loss: 1.3002, test auroc: 0.9015625
test Loss: 2.0323, test auroc: 0.8425347222222223
test Loss: 1.5879, test auroc: 0.884375
test Loss: 1.3233, test auroc: 0.8970486111111111
test Loss: 1.4024, test auroc: 0.8862847222222222
test Loss: 1.5540, test auroc: 0.8852430555555556
test Loss: 1.6643, test auroc: 0.8689236111111112
test Loss: 1.6289, test auroc: 0.8819444444444444
test Loss: 1.9074, test auroc: 0.8756944444444443
test Loss: 2.1429, test auroc: 0.8600694444444444
test Loss: 1.8396, test auroc: 0.8696180555555555
test Loss: 1.6111, test auroc: 0.8906249999999999
test Loss: 1.6793, test auroc: 0.8791666666666667
test Loss: 2.2146, test auroc: 0.8421875
test Loss: 2.1323, test auroc: 0.8652777777777777
test Loss: 1.5683, test auroc: 0.8822916666666667
test Loss: 1.8702, test auroc: 0.8737847222222221
test Loss: 1.8759, test auroc: 0.8494791666666666
test Loss: 1.7430, test auroc: 0.8793402777777777
test Loss: 1.6332, test auroc: 0.8875
test Loss: 1.5000, test auroc: 0.8800347222222221
test Loss: 1.8998, test auroc: 0.8531249999999999
test Loss: 1.8395, test auroc: 0.8734375000000001
test Loss: 1.9328, test auroc: 0.8675347222222223
test Loss: 1.4332, test auroc: 0.8935763888888888
