test Loss: 0.8839, test auroc: 0.8017361111111111
test Loss: 0.8973, test auroc: 0.8807291666666666
test Loss: 0.7669, test auroc: 0.9109375000000001
test Loss: 0.8932, test auroc: 0.9019097222222222
test Loss: 1.0100, test auroc: 0.904513888888889
test Loss: 0.8855, test auroc: 0.9104166666666667
test Loss: 1.5188, test auroc: 0.896875
test Loss: 1.1844, test auroc: 0.9104166666666665
test Loss: 1.1497, test auroc: 0.9154513888888888
test Loss: 1.2180, test auroc: 0.9140625
test Loss: 1.1558, test auroc: 0.9177083333333333
test Loss: 1.2545, test auroc: 0.9081597222222223
test Loss: 1.3170, test auroc: 0.9088541666666666
test Loss: 1.0556, test auroc: 0.9263888888888888
test Loss: 1.0568, test auroc: 0.9211805555555556
test Loss: 1.5625, test auroc: 0.8907986111111111
test Loss: 1.2002, test auroc: 0.9114583333333333
test Loss: 1.3399, test auroc: 0.9206597222222223
test Loss: 1.3259, test auroc: 0.9149305555555555
test Loss: 1.1684, test auroc: 0.9175347222222222
test Loss: 2.0701, test auroc: 0.8628472222222221
test Loss: 1.5061, test auroc: 0.8960069444444444
test Loss: 1.5076, test auroc: 0.9057291666666666
test Loss: 1.6274, test auroc: 0.8835069444444444
test Loss: 1.8949, test auroc: 0.8720486111111112
test Loss: 1.5038, test auroc: 0.8947916666666667
test Loss: 1.4205, test auroc: 0.9090277777777778
test Loss: 1.6362, test auroc: 0.88125
test Loss: 1.5656, test auroc: 0.8871527777777778
test Loss: 1.9063, test auroc: 0.8744791666666666
test Loss: 1.7141, test auroc: 0.8907986111111111
test Loss: 1.8211, test auroc: 0.875
test Loss: 1.8335, test auroc: 0.8753472222222222
test Loss: 1.6352, test auroc: 0.8852430555555555
test Loss: 1.8601, test auroc: 0.8737847222222221
test Loss: 1.6906, test auroc: 0.8885416666666667
test Loss: 1.8778, test auroc: 0.8751736111111111
test Loss: 1.7696, test auroc: 0.8758680555555556
test Loss: 2.1093, test auroc: 0.8539930555555555
test Loss: 1.7854, test auroc: 0.8918402777777777
test Loss: 1.9109, test auroc: 0.8736111111111111
test Loss: 1.7868, test auroc: 0.8807291666666666
test Loss: 2.2181, test auroc: 0.8560763888888888
test Loss: 1.4659, test auroc: 0.8887152777777777
test Loss: 2.0007, test auroc: 0.8713541666666667
test Loss: 1.3423, test auroc: 0.8982638888888889
test Loss: 1.9196, test auroc: 0.8822916666666666
test Loss: 1.6753, test auroc: 0.8788194444444445
