test Loss: 0.6760, test auroc: 0.8697666437886067
test Loss: 0.6710, test auroc: 0.9131777625257378
test Loss: 0.6762, test auroc: 0.9138641043239534
test Loss: 0.6688, test auroc: 0.9207275223061085
test Loss: 0.7582, test auroc: 0.9279341111873713
test Loss: 0.5969, test auroc: 0.93273850377488
test Loss: 1.1647, test auroc: 0.9167810569663692
test Loss: 0.9004, test auroc: 0.9282772820864791
test Loss: 0.9166, test auroc: 0.92964996568291
test Loss: 0.9378, test auroc: 0.9377144818119424
test Loss: 0.9671, test auroc: 0.9418325326012355
test Loss: 0.9168, test auroc: 0.9310226492793411
test Loss: 0.9453, test auroc: 0.9279341111873713
test Loss: 0.9336, test auroc: 0.9351407000686341
test Loss: 1.7622, test auroc: 0.8858956760466713
test Loss: 1.0180, test auroc: 0.9356554564172957
test Loss: 1.1894, test auroc: 0.9224433768016472
test Loss: 1.0867, test auroc: 0.9282772820864791
test Loss: 1.1236, test auroc: 0.9293067947838023
test Loss: 1.1147, test auroc: 0.9315374056280028
test Loss: 1.1289, test auroc: 0.9181537405628003
test Loss: 1.0637, test auroc: 0.9250171585449555
test Loss: 0.9913, test auroc: 0.929821551132464
test Loss: 1.5300, test auroc: 0.8814344543582705
test Loss: 1.3742, test auroc: 0.8991077556623197
test Loss: 1.6705, test auroc: 0.872168840082361
test Loss: 1.4159, test auroc: 0.8999656829100893
test Loss: 1.2647, test auroc: 0.926904598490048
test Loss: 1.8030, test auroc: 0.8702814001372683
test Loss: 1.2932, test auroc: 0.9140356897735072
test Loss: 1.0584, test auroc: 0.9286204529855868
test Loss: 1.2565, test auroc: 0.9190116678105698
test Loss: 1.1724, test auroc: 0.9253603294440632
test Loss: 1.4858, test auroc: 0.9080301990391214
test Loss: 1.4421, test auroc: 0.9207275223061084
test Loss: 1.1340, test auroc: 0.9289636238846946
test Loss: 1.6746, test auroc: 0.905971173644475
test Loss: 1.3665, test auroc: 0.9318805765271104
test Loss: 1.4748, test auroc: 0.911633493479753
test Loss: 1.6747, test auroc: 0.9032258064516129
test Loss: 1.3176, test auroc: 0.9286204529855868
test Loss: 1.4384, test auroc: 0.8999656829100893
test Loss: 1.3517, test auroc: 0.9052848318462595
test Loss: 1.2144, test auroc: 0.9250171585449554
test Loss: 1.6815, test auroc: 0.9061427590940289
test Loss: 1.4552, test auroc: 0.9042553191489362
test Loss: 1.1546, test auroc: 0.9317089910775567
test Loss: 1.1851, test auroc: 0.9303363074811256
