test Loss: 1.5542, test auroc: 0.71625
test Loss: 0.9299, test auroc: 0.865
test Loss: 0.8447, test auroc: 0.8923214285714285
test Loss: 0.9458, test auroc: 0.8998214285714285
test Loss: 1.0996, test auroc: 0.8833928571428572
test Loss: 1.1804, test auroc: 0.8876785714285713
test Loss: 1.4766, test auroc: 0.88
test Loss: 1.5412, test auroc: 0.8721428571428572
test Loss: 1.5468, test auroc: 0.8760714285714285
test Loss: 1.3189, test auroc: 0.8857142857142857
test Loss: 1.8893, test auroc: 0.8619642857142856
test Loss: 2.4111, test auroc: 0.8137500000000001
test Loss: 1.6139, test auroc: 0.8846428571428572
test Loss: 1.5302, test auroc: 0.897142857142857
test Loss: 1.6421, test auroc: 0.8953571428571429
test Loss: 1.6827, test auroc: 0.8885714285714286
test Loss: 1.8018, test auroc: 0.88
test Loss: 2.1953, test auroc: 0.85625
test Loss: 2.0062, test auroc: 0.8537499999999999
test Loss: 2.3965, test auroc: 0.8476785714285714
test Loss: 2.0529, test auroc: 0.8703571428571428
test Loss: 2.0170, test auroc: 0.8757142857142858
test Loss: 2.4761, test auroc: 0.8442857142857143
test Loss: 2.5848, test auroc: 0.8648214285714286
test Loss: 1.7906, test auroc: 0.8830357142857143
test Loss: 2.5067, test auroc: 0.8625
test Loss: 2.1849, test auroc: 0.8805357142857143
test Loss: 2.1849, test auroc: 0.8573214285714287
test Loss: 2.6289, test auroc: 0.8433928571428572
test Loss: 2.5342, test auroc: 0.8244642857142858
test Loss: 1.8920, test auroc: 0.8783928571428572
test Loss: 2.0834, test auroc: 0.8605357142857143
test Loss: 2.3405, test auroc: 0.8728571428571428
test Loss: 1.7312, test auroc: 0.8942857142857144
test Loss: 2.7130, test auroc: 0.8574999999999999
test Loss: 1.7483, test auroc: 0.9016071428571428
test Loss: 2.1581, test auroc: 0.8846428571428571
test Loss: 2.2187, test auroc: 0.83625
test Loss: 2.2440, test auroc: 0.8514285714285714
test Loss: 2.1009, test auroc: 0.8660714285714287
test Loss: 2.5121, test auroc: 0.854642857142857
test Loss: 2.9561, test auroc: 0.8042857142857143
test Loss: 2.5205, test auroc: 0.8360714285714286
test Loss: 2.5836, test auroc: 0.8312499999999999
test Loss: 2.5318, test auroc: 0.8346428571428572
test Loss: 1.9694, test auroc: 0.8551785714285715
test Loss: 2.3025, test auroc: 0.85
test Loss: 1.9022, test auroc: 0.8717857142857143
