test Loss: 0.6870, test auroc: 0.8731182795698924
test Loss: 0.6383, test auroc: 0.9114695340501793
test Loss: 0.7082, test auroc: 0.9198924731182796
test Loss: 0.7828, test auroc: 0.9175627240143369
test Loss: 0.8150, test auroc: 0.921146953405018
test Loss: 0.8834, test auroc: 0.9224014336917562
test Loss: 0.9445, test auroc: 0.9021505376344086
test Loss: 0.9677, test auroc: 0.9279569892473118
test Loss: 0.9268, test auroc: 0.9302867383512544
test Loss: 1.1429, test auroc: 0.9302867383512544
test Loss: 1.6371, test auroc: 0.9080645161290323
test Loss: 1.5473, test auroc: 0.8913978494623656
test Loss: 1.1990, test auroc: 0.9236559139784947
test Loss: 1.8460, test auroc: 0.8903225806451613
test Loss: 1.2069, test auroc: 0.9150537634408602
test Loss: 1.6572, test auroc: 0.8783154121863799
test Loss: 1.6760, test auroc: 0.8851254480286738
test Loss: 1.3938, test auroc: 0.9125448028673836
test Loss: 1.8860, test auroc: 0.8754480286738351
test Loss: 1.5855, test auroc: 0.8835125448028674
test Loss: 1.4158, test auroc: 0.910752688172043
test Loss: 2.7199, test auroc: 0.8188172043010753
test Loss: 1.4877, test auroc: 0.9145161290322581
test Loss: 1.8832, test auroc: 0.8851254480286738
test Loss: 1.9698, test auroc: 0.8616487455197134
test Loss: 1.9243, test auroc: 0.8627240143369175
test Loss: 1.2842, test auroc: 0.9163082437275986
test Loss: 1.7465, test auroc: 0.8802867383512546
test Loss: 1.5164, test auroc: 0.8969534050179211
test Loss: 1.8071, test auroc: 0.88584229390681
test Loss: 1.6168, test auroc: 0.8792114695340502
test Loss: 1.6546, test auroc: 0.8879928315412187
test Loss: 1.6512, test auroc: 0.8887096774193549
test Loss: 1.6850, test auroc: 0.8806451612903226
test Loss: 1.4132, test auroc: 0.9155913978494624
test Loss: 1.7007, test auroc: 0.8940860215053763
test Loss: 1.4728, test auroc: 0.9064516129032257
test Loss: 1.7037, test auroc: 0.8756272401433691
test Loss: 1.8307, test auroc: 0.8913978494623656
test Loss: 1.5288, test auroc: 0.9032258064516129
test Loss: 1.7707, test auroc: 0.8743727598566308
test Loss: 1.4767, test auroc: 0.8956989247311828
test Loss: 1.3782, test auroc: 0.9102150537634409
test Loss: 1.5559, test auroc: 0.8915770609318997
test Loss: 2.0373, test auroc: 0.853584229390681
test Loss: 1.6409, test auroc: 0.8844086021505376
test Loss: 1.2942, test auroc: 0.9181003584229391
test Loss: 1.3995, test auroc: 0.9109318996415771
