test Loss: 0.6252, test auroc: 0.8383928571428572
test Loss: 0.8459, test auroc: 0.8289285714285713
test Loss: 0.7458, test auroc: 0.8689285714285714
test Loss: 0.9378, test auroc: 0.8869642857142858
test Loss: 1.2283, test auroc: 0.8767857142857143
test Loss: 1.4919, test auroc: 0.8651785714285715
test Loss: 1.5249, test auroc: 0.8689285714285714
test Loss: 1.3714, test auroc: 0.8946428571428572
test Loss: 1.3793, test auroc: 0.8789285714285713
test Loss: 1.7091, test auroc: 0.8503571428571428
test Loss: 1.5536, test auroc: 0.887142857142857
test Loss: 2.0767, test auroc: 0.8457142857142856
test Loss: 1.8676, test auroc: 0.8753571428571428
test Loss: 2.0760, test auroc: 0.8425
test Loss: 1.6265, test auroc: 0.8857142857142857
test Loss: 1.9459, test auroc: 0.8676785714285715
test Loss: 2.0818, test auroc: 0.8608928571428571
test Loss: 1.6403, test auroc: 0.8889285714285714
test Loss: 1.7721, test auroc: 0.8766071428571429
test Loss: 1.8191, test auroc: 0.8821428571428571
test Loss: 1.6785, test auroc: 0.8891071428571428
test Loss: 2.2453, test auroc: 0.8544642857142858
test Loss: 1.6775, test auroc: 0.8716071428571428
test Loss: 2.1408, test auroc: 0.8517857142857144
test Loss: 1.4825, test auroc: 0.8928571428571428
test Loss: 1.7709, test auroc: 0.8758928571428573
test Loss: 1.9974, test auroc: 0.8642857142857143
test Loss: 2.2035, test auroc: 0.8467857142857143
test Loss: 2.3401, test auroc: 0.8469642857142857
test Loss: 1.6532, test auroc: 0.8896428571428571
test Loss: 1.9281, test auroc: 0.8748214285714286
test Loss: 2.0130, test auroc: 0.8730357142857144
test Loss: 1.8012, test auroc: 0.8841071428571429
test Loss: 1.8240, test auroc: 0.8742857142857142
test Loss: 2.5538, test auroc: 0.8205357142857143
test Loss: 2.1340, test auroc: 0.8510714285714286
test Loss: 2.5950, test auroc: 0.8185714285714285
test Loss: 2.1611, test auroc: 0.8639285714285715
test Loss: 1.9290, test auroc: 0.8733928571428572
test Loss: 1.9564, test auroc: 0.8644642857142858
test Loss: 2.1860, test auroc: 0.8601785714285713
test Loss: 2.3425, test auroc: 0.8557142857142856
test Loss: 2.2184, test auroc: 0.8485714285714285
test Loss: 2.2709, test auroc: 0.8498214285714285
test Loss: 2.4333, test auroc: 0.8323214285714287
test Loss: 2.6017, test auroc: 0.81875
test Loss: 2.2301, test auroc: 0.8423214285714286
test Loss: 1.9174, test auroc: 0.8639285714285715
