test Loss: 0.8408, test auroc: 0.8086805555555555
test Loss: 0.7036, test auroc: 0.8984375
test Loss: 0.7499, test auroc: 0.9126736111111111
test Loss: 1.0286, test auroc: 0.8977430555555556
test Loss: 1.0434, test auroc: 0.8973958333333333
test Loss: 1.1283, test auroc: 0.9045138888888888
test Loss: 1.6282, test auroc: 0.8743055555555556
test Loss: 1.2776, test auroc: 0.8973958333333333
test Loss: 1.1332, test auroc: 0.8729166666666667
test Loss: 1.3767, test auroc: 0.8732638888888888
test Loss: 1.4554, test auroc: 0.8725694444444445
test Loss: 1.4646, test auroc: 0.8762152777777777
test Loss: 1.5845, test auroc: 0.861111111111111
test Loss: 1.4253, test auroc: 0.8732638888888888
test Loss: 2.1402, test auroc: 0.8296874999999999
test Loss: 1.4643, test auroc: 0.8857638888888889
test Loss: 1.7303, test auroc: 0.8619791666666665
test Loss: 1.4160, test auroc: 0.8911458333333333
test Loss: 1.7037, test auroc: 0.8661458333333334
test Loss: 1.6019, test auroc: 0.8845486111111112
test Loss: 2.0527, test auroc: 0.837326388888889
test Loss: 2.0987, test auroc: 0.8307291666666667
test Loss: 2.2446, test auroc: 0.8371527777777779
test Loss: 1.9276, test auroc: 0.8560763888888889
test Loss: 1.7709, test auroc: 0.8671875000000001
test Loss: 2.8267, test auroc: 0.8274305555555556
test Loss: 1.9066, test auroc: 0.882986111111111
test Loss: 1.5285, test auroc: 0.8032986111111111
test Loss: 1.0592, test auroc: 0.8815972222222221
test Loss: 1.2679, test auroc: 0.8982638888888889
test Loss: 1.6773, test auroc: 0.8862847222222222
test Loss: 1.5539, test auroc: 0.8897569444444445
test Loss: 2.1652, test auroc: 0.8352430555555556
test Loss: 1.6981, test auroc: 0.8796875000000001
test Loss: 1.4878, test auroc: 0.8961805555555555
test Loss: 2.6806, test auroc: 0.8053819444444444
test Loss: 2.0457, test auroc: 0.8491319444444444
test Loss: 1.5200, test auroc: 0.8913194444444444
test Loss: 1.5080, test auroc: 0.8857638888888888
test Loss: 1.8377, test auroc: 0.835763888888889
test Loss: 1.3511, test auroc: 0.8932291666666666
test Loss: 1.7252, test auroc: 0.8782986111111111
test Loss: 2.5550, test auroc: 0.8239583333333333
test Loss: 1.8584, test auroc: 0.8821180555555556
test Loss: 1.6744, test auroc: 0.8883680555555555
test Loss: 1.6589, test auroc: 0.8708333333333333
test Loss: 1.5181, test auroc: 0.8734375000000001
test Loss: 1.4772, test auroc: 0.8828125
