test Loss: 0.6810, test auroc: 0.8469642857142857
test Loss: 0.7250, test auroc: 0.8841071428571428
test Loss: 0.6952, test auroc: 0.9092857142857143
test Loss: 1.0102, test auroc: 0.9110714285714286
test Loss: 1.1513, test auroc: 0.9082142857142856
test Loss: 1.0647, test auroc: 0.8789285714285715
test Loss: 0.9725, test auroc: 0.8814285714285713
test Loss: 1.0466, test auroc: 0.9023214285714286
test Loss: 1.0190, test auroc: 0.9158928571428572
test Loss: 1.2521, test auroc: 0.8982142857142856
test Loss: 1.3066, test auroc: 0.89125
test Loss: 1.4336, test auroc: 0.8998214285714285
test Loss: 1.5171, test auroc: 0.8953571428571427
test Loss: 1.5824, test auroc: 0.8953571428571427
test Loss: 1.6185, test auroc: 0.8898214285714285
test Loss: 1.6835, test auroc: 0.8908928571428572
test Loss: 1.6243, test auroc: 0.8841071428571429
test Loss: 1.4922, test auroc: 0.8883928571428571
test Loss: 1.8975, test auroc: 0.8698214285714285
test Loss: 1.5800, test auroc: 0.8892857142857143
test Loss: 1.3308, test auroc: 0.8941071428571429
test Loss: 1.6432, test auroc: 0.8887499999999999
test Loss: 1.6466, test auroc: 0.8866071428571427
test Loss: 1.4879, test auroc: 0.8899999999999999
test Loss: 1.4327, test auroc: 0.9078571428571429
test Loss: 1.3231, test auroc: 0.9025000000000001
test Loss: 1.3003, test auroc: 0.9096428571428572
test Loss: 1.5935, test auroc: 0.8776785714285714
test Loss: 1.3295, test auroc: 0.9114285714285715
test Loss: 1.4974, test auroc: 0.9023214285714286
test Loss: 1.1509, test auroc: 0.9176785714285715
test Loss: 1.3886, test auroc: 0.9026785714285714
test Loss: 1.8811, test auroc: 0.8692857142857142
test Loss: 1.5892, test auroc: 0.8853571428571428
test Loss: 2.2529, test auroc: 0.8323214285714285
test Loss: 2.0544, test auroc: 0.8585714285714284
test Loss: 1.6760, test auroc: 0.8853571428571428
test Loss: 1.5896, test auroc: 0.8894642857142858
test Loss: 1.3466, test auroc: 0.9008928571428572
test Loss: 1.2833, test auroc: 0.9128571428571428
test Loss: 1.3957, test auroc: 0.9049999999999999
test Loss: 1.4010, test auroc: 0.9039285714285714
test Loss: 1.5133, test auroc: 0.8907142857142857
test Loss: 1.4851, test auroc: 0.86875
test Loss: 1.4993, test auroc: 0.874107142857143
test Loss: 1.3467, test auroc: 0.8978571428571428
test Loss: 1.4408, test auroc: 0.9042857142857142
test Loss: 1.4138, test auroc: 0.8783928571428572
