test Loss: 0.5059, test auroc: 0.9028673835125448
test Loss: 0.4818, test auroc: 0.9060931899641577
test Loss: 0.7771, test auroc: 0.9075268817204302
test Loss: 0.5840, test auroc: 0.9121863799283154
test Loss: 0.9068, test auroc: 0.8926523297491039
test Loss: 1.0407, test auroc: 0.8921146953405018
test Loss: 0.9462, test auroc: 0.9030465949820788
test Loss: 0.8787, test auroc: 0.9055555555555554
test Loss: 1.1057, test auroc: 0.9026881720430108
test Loss: 0.9379, test auroc: 0.8546594982078852
test Loss: 1.0368, test auroc: 0.8971326164874552
test Loss: 1.3641, test auroc: 0.9055555555555556
test Loss: 1.5079, test auroc: 0.8887096774193548
test Loss: 1.6442, test auroc: 0.8716845878136201
test Loss: 1.7338, test auroc: 0.881720430107527
test Loss: 1.4758, test auroc: 0.8566308243727598
test Loss: 1.7486, test auroc: 0.8806451612903226
test Loss: 1.4030, test auroc: 0.8790322580645161
test Loss: 1.3284, test auroc: 0.8912186379928315
test Loss: 1.5664, test auroc: 0.8745519713261649
test Loss: 1.5565, test auroc: 0.8779569892473118
test Loss: 1.7104, test auroc: 0.8827956989247312
test Loss: 1.8187, test auroc: 0.8790322580645161
test Loss: 2.1095, test auroc: 0.8270609318996416
test Loss: 1.3682, test auroc: 0.8924731182795699
test Loss: 1.5114, test auroc: 0.8663082437275986
test Loss: 1.5628, test auroc: 0.8827956989247312
test Loss: 1.9541, test auroc: 0.8474910394265233
test Loss: 1.9794, test auroc: 0.853763440860215
test Loss: 1.5801, test auroc: 0.8890681003584229
test Loss: 1.7314, test auroc: 0.8783154121863799
test Loss: 1.6915, test auroc: 0.8792114695340502
test Loss: 1.9968, test auroc: 0.8605734767025089
test Loss: 1.5949, test auroc: 0.8940860215053763
test Loss: 1.7829, test auroc: 0.8811827956989248
test Loss: 1.4905, test auroc: 0.8989247311827957
test Loss: 2.0558, test auroc: 0.8166666666666668
test Loss: 1.8057, test auroc: 0.8681003584229391
test Loss: 1.4916, test auroc: 0.8906810035842294
test Loss: 1.6419, test auroc: 0.8872759856630824
test Loss: 1.5507, test auroc: 0.8908602150537634
test Loss: 1.4984, test auroc: 0.8847670250896057
test Loss: 1.5239, test auroc: 0.8879928315412187
test Loss: 1.4966, test auroc: 0.8853046594982079
test Loss: 1.2775, test auroc: 0.9041218637992832
test Loss: 1.4866, test auroc: 0.8931899641577061
test Loss: 1.3818, test auroc: 0.9003584229390681
test Loss: 1.5166, test auroc: 0.8831541218637993
