test Loss: 0.7962, test auroc: 0.8562724014336918
test Loss: 0.5442, test auroc: 0.928673835125448
test Loss: 0.6567, test auroc: 0.9301075268817204
test Loss: 0.7256, test auroc: 0.921146953405018
test Loss: 0.8478, test auroc: 0.917921146953405
test Loss: 0.9246, test auroc: 0.9062724014336918
test Loss: 0.8727, test auroc: 0.9026881720430108
test Loss: 0.9234, test auroc: 0.9086021505376344
test Loss: 1.0973, test auroc: 0.9121863799283154
test Loss: 1.1954, test auroc: 0.9116487455197132
test Loss: 1.1989, test auroc: 0.892652329749104
test Loss: 1.3191, test auroc: 0.8853046594982079
test Loss: 1.5747, test auroc: 0.8740143369175628
test Loss: 1.4489, test auroc: 0.8505376344086022
test Loss: 1.0648, test auroc: 0.8935483870967741
test Loss: 1.5939, test auroc: 0.8888888888888888
test Loss: 1.2460, test auroc: 0.896594982078853
test Loss: 1.7910, test auroc: 0.8672043010752688
test Loss: 2.1371, test auroc: 0.8439068100358423
test Loss: 1.4995, test auroc: 0.9025089605734767
test Loss: 1.5256, test auroc: 0.8973118279569893
test Loss: 1.4807, test auroc: 0.896594982078853
test Loss: 1.4038, test auroc: 0.8974910394265233
test Loss: 1.6509, test auroc: 0.8845878136200718
test Loss: 1.0644, test auroc: 0.9272401433691756
test Loss: 1.6653, test auroc: 0.874910394265233
test Loss: 1.4803, test auroc: 0.8883512544802866
test Loss: 1.4838, test auroc: 0.882258064516129
test Loss: 1.3663, test auroc: 0.885483870967742
test Loss: 1.4933, test auroc: 0.8813620071684587
test Loss: 1.9260, test auroc: 0.8636200716845879
test Loss: 1.9256, test auroc: 0.8473118279569892
test Loss: 2.2535, test auroc: 0.8363799283154122
test Loss: 1.7624, test auroc: 0.8577060931899642
test Loss: 1.9564, test auroc: 0.839605734767025
test Loss: 1.4866, test auroc: 0.8906810035842293
test Loss: 1.8216, test auroc: 0.853405017921147
test Loss: 1.5790, test auroc: 0.882437275985663
test Loss: 2.1422, test auroc: 0.8469534050179212
test Loss: 2.3154, test auroc: 0.8267025089605734
test Loss: 2.2941, test auroc: 0.8340501792114696
test Loss: 1.9230, test auroc: 0.8525089605734767
test Loss: 2.0708, test auroc: 0.8519713261648746
test Loss: 2.1764, test auroc: 0.8272401433691756
test Loss: 2.1185, test auroc: 0.8453405017921147
test Loss: 1.8794, test auroc: 0.8646953405017921
test Loss: 1.9627, test auroc: 0.8505376344086021
test Loss: 2.0604, test auroc: 0.8412186379928315
