test Loss: 0.7525, test auroc: 0.8727430555555555
test Loss: 0.6894, test auroc: 0.8958333333333333
test Loss: 0.6313, test auroc: 0.9328125
test Loss: 0.9219, test auroc: 0.920486111111111
test Loss: 0.8373, test auroc: 0.9243055555555556
test Loss: 0.9243, test auroc: 0.9329861111111112
test Loss: 1.0968, test auroc: 0.9067708333333333
test Loss: 1.0510, test auroc: 0.9130208333333333
test Loss: 1.0025, test auroc: 0.9225694444444444
test Loss: 0.8285, test auroc: 0.9253472222222222
test Loss: 0.8882, test auroc: 0.9197916666666666
test Loss: 0.6720, test auroc: 0.9357638888888888
test Loss: 0.8319, test auroc: 0.9307291666666666
test Loss: 2.5474, test auroc: 0.7409722222222221
test Loss: 1.0319, test auroc: 0.8918402777777777
test Loss: 0.9693, test auroc: 0.9265625
test Loss: 1.0354, test auroc: 0.914236111111111
test Loss: 1.2467, test auroc: 0.9114583333333334
test Loss: 1.5859, test auroc: 0.8765624999999999
test Loss: 1.3864, test auroc: 0.9006944444444445
test Loss: 1.9067, test auroc: 0.8531249999999999
test Loss: 1.8924, test auroc: 0.859375
test Loss: 1.8365, test auroc: 0.864236111111111
test Loss: 1.3519, test auroc: 0.9142361111111111
test Loss: 1.0920, test auroc: 0.9118055555555555
test Loss: 1.2273, test auroc: 0.9020833333333332
test Loss: 1.2798, test auroc: 0.8979166666666667
test Loss: 1.2882, test auroc: 0.8925347222222223
test Loss: 1.5513, test auroc: 0.8878472222222221
test Loss: 1.4823, test auroc: 0.8975694444444444
test Loss: 1.4611, test auroc: 0.907638888888889
test Loss: 1.2586, test auroc: 0.9032986111111111
test Loss: 1.3716, test auroc: 0.8885416666666667
test Loss: 1.2042, test auroc: 0.9130208333333333
test Loss: 1.3185, test auroc: 0.9104166666666665
test Loss: 2.0004, test auroc: 0.8605902777777777
test Loss: 2.4216, test auroc: 0.8116319444444444
test Loss: 2.1318, test auroc: 0.8493055555555555
test Loss: 2.1543, test auroc: 0.8571180555555555
test Loss: 1.3067, test auroc: 0.9024305555555555
test Loss: 1.2609, test auroc: 0.900173611111111
test Loss: 1.2599, test auroc: 0.9052083333333333
test Loss: 1.5711, test auroc: 0.8833333333333334
test Loss: 1.1698, test auroc: 0.9116319444444443
test Loss: 1.5585, test auroc: 0.892361111111111
test Loss: 1.5767, test auroc: 0.876736111111111
test Loss: 1.8763, test auroc: 0.8435763888888889
test Loss: 1.7519, test auroc: 0.8519097222222222
