test Loss: 1.2411, test auroc: 0.7416071428571429
test Loss: 0.8735, test auroc: 0.8523214285714285
test Loss: 0.9487, test auroc: 0.8751785714285715
test Loss: 0.9189, test auroc: 0.8873214285714286
test Loss: 1.4880, test auroc: 0.8666071428571429
test Loss: 1.6223, test auroc: 0.8719642857142857
test Loss: 1.3477, test auroc: 0.8855357142857143
test Loss: 1.6561, test auroc: 0.8648214285714285
test Loss: 1.7383, test auroc: 0.8819642857142858
test Loss: 1.5539, test auroc: 0.8730357142857144
test Loss: 2.0787, test auroc: 0.8544642857142856
test Loss: 1.5316, test auroc: 0.8548214285714285
test Loss: 1.7092, test auroc: 0.8667857142857143
test Loss: 2.1568, test auroc: 0.8360714285714285
test Loss: 2.0710, test auroc: 0.8421428571428571
test Loss: 2.4308, test auroc: 0.8519642857142857
test Loss: 1.3400, test auroc: 0.8726785714285714
test Loss: 1.2969, test auroc: 0.8875
test Loss: 1.8206, test auroc: 0.8694642857142857
test Loss: 1.1848, test auroc: 0.9173214285714286
test Loss: 1.5277, test auroc: 0.8928571428571429
test Loss: 1.8975, test auroc: 0.8614285714285713
test Loss: 2.1502, test auroc: 0.8505357142857143
test Loss: 2.0126, test auroc: 0.8514285714285714
test Loss: 1.8979, test auroc: 0.8605357142857142
test Loss: 1.4744, test auroc: 0.8726785714285715
test Loss: 1.8314, test auroc: 0.8710714285714285
test Loss: 2.1679, test auroc: 0.86125
test Loss: 2.2256, test auroc: 0.8610714285714285
test Loss: 2.2553, test auroc: 0.8503571428571428
test Loss: 1.9036, test auroc: 0.8628571428571428
test Loss: 1.5659, test auroc: 0.8880357142857143
test Loss: 1.8597, test auroc: 0.8728571428571428
test Loss: 1.9931, test auroc: 0.8667857142857142
test Loss: 2.1022, test auroc: 0.8525
test Loss: 2.0636, test auroc: 0.8367857142857144
test Loss: 1.8788, test auroc: 0.8683928571428572
test Loss: 2.0069, test auroc: 0.8574999999999999
test Loss: 2.0173, test auroc: 0.8482142857142857
test Loss: 1.9726, test auroc: 0.8464285714285714
test Loss: 1.6984, test auroc: 0.87625
test Loss: 1.8448, test auroc: 0.8605357142857144
test Loss: 1.9780, test auroc: 0.8539285714285714
test Loss: 1.8829, test auroc: 0.8739285714285716
test Loss: 1.8955, test auroc: 0.8646428571428572
test Loss: 1.8504, test auroc: 0.8669642857142856
test Loss: 1.7658, test auroc: 0.8848214285714285
test Loss: 1.5141, test auroc: 0.8826785714285713
