test Loss: 0.6706, test auroc: 0.7583928571428571
test Loss: 0.7456, test auroc: 0.7578571428571429
test Loss: 0.7233, test auroc: 0.7739285714285715
test Loss: 0.6736, test auroc: 0.795
test Loss: 0.6390, test auroc: 0.8085714285714285
test Loss: 0.6063, test auroc: 0.8257142857142857
test Loss: 0.5883, test auroc: 0.8403571428571429
test Loss: 0.5979, test auroc: 0.8457142857142858
test Loss: 0.6325, test auroc: 0.8494642857142858
test Loss: 0.6923, test auroc: 0.85
test Loss: 0.7763, test auroc: 0.8514285714285714
test Loss: 0.7990, test auroc: 0.8530357142857142
test Loss: 0.7864, test auroc: 0.8610714285714286
test Loss: 0.7905, test auroc: 0.8660714285714285
test Loss: 0.7987, test auroc: 0.8696428571428572
test Loss: 0.8174, test auroc: 0.8685714285714287
test Loss: 0.9459, test auroc: 0.8560714285714286
test Loss: 0.9376, test auroc: 0.8710714285714285
test Loss: 0.9688, test auroc: 0.8724999999999999
test Loss: 1.1886, test auroc: 0.8591071428571428
test Loss: 1.6442, test auroc: 0.7964285714285714
test Loss: 1.1386, test auroc: 0.8680357142857142
test Loss: 1.2910, test auroc: 0.8426785714285714
test Loss: 1.3340, test auroc: 0.8600000000000001
test Loss: 1.3316, test auroc: 0.8494642857142856
test Loss: 1.2231, test auroc: 0.8753571428571428
test Loss: 1.1779, test auroc: 0.8751785714285714
test Loss: 1.3109, test auroc: 0.8724999999999999
test Loss: 1.4030, test auroc: 0.8703571428571429
test Loss: 1.4436, test auroc: 0.8683928571428572
test Loss: 1.5826, test auroc: 0.8560714285714286
test Loss: 1.5702, test auroc: 0.8717857142857143
test Loss: 1.4568, test auroc: 0.8621428571428571
test Loss: 1.6449, test auroc: 0.8546428571428571
test Loss: 1.5871, test auroc: 0.8742857142857143
test Loss: 1.7689, test auroc: 0.8680357142857142
test Loss: 1.7924, test auroc: 0.8683928571428571
test Loss: 1.8500, test auroc: 0.8696428571428572
test Loss: 1.7929, test auroc: 0.8698214285714286
test Loss: 1.7998, test auroc: 0.8755357142857143
test Loss: 1.6833, test auroc: 0.8751785714285715
test Loss: 1.6185, test auroc: 0.8792857142857142
test Loss: 1.6573, test auroc: 0.8673214285714286
test Loss: 1.6783, test auroc: 0.8666071428571428
test Loss: 1.7093, test auroc: 0.8657142857142857
test Loss: 1.6671, test auroc: 0.8683928571428572
test Loss: 1.7824, test auroc: 0.8664285714285714
test Loss: 1.8023, test auroc: 0.8723214285714286
