test Loss: 0.7384, test auroc: 0.7755662319835278
test Loss: 0.6300, test auroc: 0.7989018531228552
test Loss: 0.5738, test auroc: 0.8227522306108442
test Loss: 0.5494, test auroc: 0.8431708991077558
test Loss: 0.5249, test auroc: 0.8589567604667124
test Loss: 0.5090, test auroc: 0.8659917638984214
test Loss: 0.4845, test auroc: 0.875085792724777
test Loss: 0.4885, test auroc: 0.8862388469457789
test Loss: 0.5382, test auroc: 0.8855525051475635
test Loss: 0.5746, test auroc: 0.883493479752917
test Loss: 0.5662, test auroc: 0.8855525051475635
test Loss: 0.5446, test auroc: 0.8913864104323953
test Loss: 0.5317, test auroc: 0.8958476321207962
test Loss: 0.5376, test auroc: 0.9008236101578586
test Loss: 0.5565, test auroc: 0.9047700754975978
test Loss: 0.6266, test auroc: 0.9027110501029513
test Loss: 0.5919, test auroc: 0.9147220315717228
test Loss: 0.6441, test auroc: 0.9118050789293068
test Loss: 0.6339, test auroc: 0.9147220315717227
test Loss: 0.6737, test auroc: 0.9166094715168154
test Loss: 0.6542, test auroc: 0.9181537405628004
test Loss: 0.6827, test auroc: 0.9083733699382293
test Loss: 0.5854, test auroc: 0.9198695950583391
test Loss: 0.7412, test auroc: 0.9061427590940289
test Loss: 0.6340, test auroc: 0.9262182566918326
test Loss: 0.7591, test auroc: 0.9150652024708305
test Loss: 0.7147, test auroc: 0.922786547700755
test Loss: 0.7672, test auroc: 0.9270761839396019
test Loss: 0.7501, test auroc: 0.9286204529855868
test Loss: 0.9381, test auroc: 0.9164378860672615
test Loss: 0.6938, test auroc: 0.9358270418668497
test Loss: 0.8431, test auroc: 0.9277625257378175
test Loss: 0.9595, test auroc: 0.9133493479752917
test Loss: 0.8184, test auroc: 0.922786547700755
test Loss: 0.8230, test auroc: 0.931194234728895
test Loss: 1.0101, test auroc: 0.9085449553877831
test Loss: 0.9070, test auroc: 0.9224433768016472
test Loss: 1.0176, test auroc: 0.914378860672615
test Loss: 0.9057, test auroc: 0.9270761839396019
test Loss: 0.9105, test auroc: 0.924159231297186
test Loss: 0.9654, test auroc: 0.9236444749485243
test Loss: 0.9032, test auroc: 0.9294783802333562
test Loss: 0.9596, test auroc: 0.9238160603980782
test Loss: 0.8608, test auroc: 0.9347975291695264
test Loss: 0.9408, test auroc: 0.925531914893617
test Loss: 0.8707, test auroc: 0.9344543582704188
test Loss: 0.9027, test auroc: 0.9320521619766644
test Loss: 0.9056, test auroc: 0.9315374056280028
