test Loss: 0.5903, test auroc: 0.7804659498207885
test Loss: 0.6043, test auroc: 0.7908602150537635
test Loss: 0.6073, test auroc: 0.8111111111111111
test Loss: 0.5985, test auroc: 0.8374551971326165
test Loss: 0.5624, test auroc: 0.8720430107526882
test Loss: 0.5279, test auroc: 0.9023297491039426
test Loss: 0.5054, test auroc: 0.9134408602150538
test Loss: 0.5083, test auroc: 0.9094982078853046
test Loss: 0.5273, test auroc: 0.8912186379928315
test Loss: 0.5171, test auroc: 0.8926523297491039
test Loss: 0.4722, test auroc: 0.9105734767025089
test Loss: 0.4358, test auroc: 0.9225806451612902
test Loss: 0.4010, test auroc: 0.9327956989247312
test Loss: 0.3733, test auroc: 0.9419354838709677
test Loss: 0.4483, test auroc: 0.942831541218638
test Loss: 0.6256, test auroc: 0.917741935483871
test Loss: 0.5285, test auroc: 0.925268817204301
test Loss: 0.8404, test auroc: 0.8840501792114696
test Loss: 0.5414, test auroc: 0.9283154121863799
test Loss: 0.5483, test auroc: 0.9315412186379928
test Loss: 0.6023, test auroc: 0.9385304659498208
test Loss: 0.6862, test auroc: 0.9197132616487456
test Loss: 0.6911, test auroc: 0.9175627240143369
test Loss: 0.7984, test auroc: 0.921146953405018
test Loss: 0.8082, test auroc: 0.9240143369175626
test Loss: 0.7750, test auroc: 0.9155913978494623
test Loss: 0.7475, test auroc: 0.9317204301075268
test Loss: 0.8836, test auroc: 0.9238351254480287
test Loss: 0.7284, test auroc: 0.9345878136200717
test Loss: 0.9230, test auroc: 0.9234767025089606
test Loss: 0.9046, test auroc: 0.9333333333333333
test Loss: 1.0025, test auroc: 0.9279569892473118
test Loss: 0.9115, test auroc: 0.9336917562724014
test Loss: 0.9226, test auroc: 0.9358422939068101
test Loss: 0.9720, test auroc: 0.9333333333333333
test Loss: 1.0998, test auroc: 0.9172043010752688
test Loss: 1.2888, test auroc: 0.9109318996415771
test Loss: 0.9962, test auroc: 0.9302867383512544
test Loss: 1.0197, test auroc: 0.9277777777777777
test Loss: 1.1508, test auroc: 0.9172043010752688
test Loss: 1.0597, test auroc: 0.9241935483870968
test Loss: 0.9900, test auroc: 0.9295698924731183
test Loss: 1.0172, test auroc: 0.9261648745519713
test Loss: 1.0968, test auroc: 0.9191756272401433
test Loss: 1.0324, test auroc: 0.9317204301075269
test Loss: 0.9411, test auroc: 0.935663082437276
test Loss: 1.0418, test auroc: 0.9333333333333333
test Loss: 1.0253, test auroc: 0.9336917562724014
