test Loss: 0.5783, test auroc: 0.7844886753603294
test Loss: 0.4701, test auroc: 0.8522649279341112
test Loss: 0.4361, test auroc: 0.8747426218256693
test Loss: 0.4248, test auroc: 0.8956760466712423
test Loss: 0.4368, test auroc: 0.8970487302676733
test Loss: 0.4157, test auroc: 0.9150652024708306
test Loss: 0.4143, test auroc: 0.9207275223061084
test Loss: 0.3961, test auroc: 0.9243308167467399
test Loss: 0.3776, test auroc: 0.928448867536033
test Loss: 0.3687, test auroc: 0.9294783802333562
test Loss: 0.3757, test auroc: 0.9246739876458476
test Loss: 0.3808, test auroc: 0.9221002059025395
test Loss: 0.3934, test auroc: 0.9208991077556623
test Loss: 0.5104, test auroc: 0.9044269045984902
test Loss: 0.7449, test auroc: 0.8917295813315032
test Loss: 1.2258, test auroc: 0.8291008922443377
test Loss: 0.9666, test auroc: 0.8656485929993137
test Loss: 0.7263, test auroc: 0.8987645847632121
test Loss: 0.8520, test auroc: 0.8907000686341798
test Loss: 0.9241, test auroc: 0.8991077556623199
test Loss: 0.7985, test auroc: 0.908544955387783
test Loss: 0.7740, test auroc: 0.9126630061770762
test Loss: 0.6695, test auroc: 0.925531914893617
test Loss: 0.9351, test auroc: 0.8997940974605354
test Loss: 0.7642, test auroc: 0.9133493479752917
test Loss: 0.8951, test auroc: 0.9085449553877831
test Loss: 0.8601, test auroc: 0.9130061770761839
test Loss: 0.7449, test auroc: 0.9317089910775567
test Loss: 1.0324, test auroc: 0.9104323953328758
test Loss: 0.7962, test auroc: 0.928448867536033
test Loss: 1.0029, test auroc: 0.9215854495538777
test Loss: 1.0079, test auroc: 0.9203843514070008
test Loss: 0.9334, test auroc: 0.9279341111873713
test Loss: 0.9083, test auroc: 0.9233013040494166
test Loss: 0.8874, test auroc: 0.9212422786547702
test Loss: 0.9500, test auroc: 0.9183253260123542
test Loss: 0.8827, test auroc: 0.9251887439945093
test Loss: 0.9442, test auroc: 0.9301647220315717
test Loss: 0.9489, test auroc: 0.9270761839396019
test Loss: 0.9305, test auroc: 0.9291352093342485
test Loss: 0.9691, test auroc: 0.9263898421413864
test Loss: 0.9884, test auroc: 0.9262182566918326
test Loss: 1.0496, test auroc: 0.9190116678105696
test Loss: 1.0765, test auroc: 0.9169526424159232
test Loss: 1.0919, test auroc: 0.918496911461908
test Loss: 1.1209, test auroc: 0.9179821551132464
test Loss: 1.1170, test auroc: 0.917124227865477
test Loss: 1.0775, test auroc: 0.9171242278654771
