test Loss: 0.5814, test auroc: 0.7602430555555556
test Loss: 0.4623, test auroc: 0.8638888888888888
test Loss: 0.4473, test auroc: 0.8602430555555556
test Loss: 0.3929, test auroc: 0.9012152777777778
test Loss: 0.3809, test auroc: 0.9036458333333334
test Loss: 0.3699, test auroc: 0.9104166666666668
test Loss: 0.3644, test auroc: 0.9119791666666668
test Loss: 0.3657, test auroc: 0.9109375
test Loss: 0.3655, test auroc: 0.9170138888888888
test Loss: 0.3657, test auroc: 0.9208333333333334
test Loss: 0.3872, test auroc: 0.9210069444444444
test Loss: 0.4174, test auroc: 0.9192708333333333
test Loss: 0.4687, test auroc: 0.9170138888888888
test Loss: 0.5235, test auroc: 0.9100694444444445
test Loss: 0.5770, test auroc: 0.9098958333333333
test Loss: 0.6360, test auroc: 0.9135416666666667
test Loss: 0.6892, test auroc: 0.9104166666666667
test Loss: 0.6610, test auroc: 0.9116319444444445
test Loss: 0.7643, test auroc: 0.9067708333333333
test Loss: 0.9413, test auroc: 0.8800347222222222
test Loss: 0.8298, test auroc: 0.9043402777777778
test Loss: 0.9366, test auroc: 0.8970486111111111
test Loss: 0.8093, test auroc: 0.9164930555555556
test Loss: 0.8514, test auroc: 0.9109375
test Loss: 0.7404, test auroc: 0.9164930555555555
test Loss: 0.8721, test auroc: 0.9074652777777777
test Loss: 0.8758, test auroc: 0.9161458333333333
test Loss: 0.9583, test auroc: 0.9083333333333333
test Loss: 0.9701, test auroc: 0.9085069444444445
test Loss: 1.0416, test auroc: 0.9105902777777778
test Loss: 0.9386, test auroc: 0.9164930555555555
test Loss: 0.9241, test auroc: 0.9194444444444444
test Loss: 0.9636, test auroc: 0.9199652777777777
test Loss: 0.9285, test auroc: 0.9204861111111111
test Loss: 0.9487, test auroc: 0.9192708333333334
test Loss: 0.9955, test auroc: 0.9173611111111112
test Loss: 0.9581, test auroc: 0.9171874999999999
test Loss: 0.9775, test auroc: 0.9222222222222222
test Loss: 0.9819, test auroc: 0.9197916666666667
test Loss: 1.0702, test auroc: 0.91875
test Loss: 1.0455, test auroc: 0.9203125
test Loss: 1.0605, test auroc: 0.9213541666666667
test Loss: 1.0426, test auroc: 0.9210069444444444
test Loss: 1.0483, test auroc: 0.920486111111111
test Loss: 1.0312, test auroc: 0.9211805555555556
test Loss: 1.0497, test auroc: 0.9206597222222221
test Loss: 1.0256, test auroc: 0.9203125
test Loss: 1.0474, test auroc: 0.9194444444444444
