test Loss: 1.2411, test auroc: 0.7416071428571429
test Loss: 0.8735, test auroc: 0.8523214285714285
test Loss: 0.9487, test auroc: 0.8751785714285715
test Loss: 0.9189, test auroc: 0.8873214285714286
test Loss: 1.4880, test auroc: 0.8666071428571429
test Loss: 1.6223, test auroc: 0.8719642857142857
test Loss: 1.3477, test auroc: 0.8855357142857143
test Loss: 1.6561, test auroc: 0.8648214285714285
test Loss: 1.7383, test auroc: 0.8819642857142858
test Loss: 1.5539, test auroc: 0.8730357142857144
test Loss: 2.0787, test auroc: 0.8544642857142856
test Loss: 1.5316, test auroc: 0.8548214285714285
