test Loss: 0.6215, test auroc: 0.7280357142857142
test Loss: 0.5907, test auroc: 0.7594642857142857
test Loss: 0.5848, test auroc: 0.7810714285714286
test Loss: 0.6631, test auroc: 0.7705357142857143
test Loss: 0.7594, test auroc: 0.7601785714285714
test Loss: 0.8210, test auroc: 0.7576785714285714
test Loss: 0.7813, test auroc: 0.7767857142857142
test Loss: 0.7387, test auroc: 0.7998214285714286
test Loss: 0.7125, test auroc: 0.8203571428571428
test Loss: 0.7256, test auroc: 0.8328571428571429
test Loss: 0.7699, test auroc: 0.8451785714285714
test Loss: 0.8033, test auroc: 0.8501785714285713
test Loss: 0.8418, test auroc: 0.8560714285714286
test Loss: 0.8643, test auroc: 0.8605357142857143
test Loss: 0.9159, test auroc: 0.8548214285714286
test Loss: 0.9140, test auroc: 0.8560714285714286
test Loss: 1.0060, test auroc: 0.8594642857142857
test Loss: 1.0859, test auroc: 0.8644642857142857
test Loss: 1.0707, test auroc: 0.8730357142857142
test Loss: 1.1097, test auroc: 0.8664285714285713
test Loss: 1.1215, test auroc: 0.8633928571428571
test Loss: 1.1955, test auroc: 0.8728571428571429
test Loss: 1.3141, test auroc: 0.8733928571428571
test Loss: 1.2591, test auroc: 0.8703571428571428
test Loss: 1.3054, test auroc: 0.8671428571428571
test Loss: 1.5206, test auroc: 0.84625
test Loss: 1.5341, test auroc: 0.8514285714285715
test Loss: 1.5680, test auroc: 0.86375
test Loss: 1.6349, test auroc: 0.8542857142857143
test Loss: 1.7514, test auroc: 0.8398214285714286
test Loss: 1.5597, test auroc: 0.8725
test Loss: 1.5913, test auroc: 0.8603571428571427
test Loss: 1.7853, test auroc: 0.8617857142857143
test Loss: 1.9663, test auroc: 0.8571428571428572
test Loss: 1.6135, test auroc: 0.8828571428571429
test Loss: 1.5404, test auroc: 0.8839285714285714
test Loss: 1.6083, test auroc: 0.8755357142857143
test Loss: 1.6515, test auroc: 0.8692857142857142
test Loss: 1.7206, test auroc: 0.8605357142857143
test Loss: 1.8402, test auroc: 0.8701785714285715
test Loss: 1.9206, test auroc: 0.87
test Loss: 1.8035, test auroc: 0.86875
test Loss: 1.7183, test auroc: 0.8653571428571428
test Loss: 1.7651, test auroc: 0.8648214285714285
test Loss: 1.7699, test auroc: 0.87
test Loss: 1.7688, test auroc: 0.8719642857142857
test Loss: 1.7844, test auroc: 0.8719642857142857
test Loss: 1.7870, test auroc: 0.8719642857142857
